gene	npas	pval	RLDu	RLDi	REDu	REDu.pval	REDi	REDi.pval	nread.c1.1	nread.c2.1
Tcea1	4	1	0	NA	0	1	NA	NA	4888	4888
Atp6v1h	2	1	NA	0	NA	NA	0	1	14297	14297
Rb1cc1	4	1	0	NA	0	1	NA	NA	5656	5656
St18	3	1	0	NA	0	1	NA	NA	288	288
Pcmtd1	3	1	0	NA	0	1	NA	NA	7107	7107
Adhfe1	2	1	0	NA	0	1	NA	NA	4728	4728
Sgk3	4	1	0	NA	0	1	NA	NA	1388	1388
Cspp1	3	1	NA	0	NA	NA	0	1	1998	1998
Prex2	3	1	0	NA	0	1	NA	NA	2319	2319
A830018L16Rik	6	1	0	0	0	1	0	1	1744	1744
Sulf1	3	1	0	NA	0	1	NA	NA	930	930
Terf1	3	1	0	0	0	1	0	1	2047	2047
Rdh10	4	1	0	NA	0	1	NA	NA	1730	1730
Tmem70	4	1	0	NA	0	1	NA	NA	14426	14426
Pi15	2	1	0	NA	0	1	NA	NA	65	65
Crispld1	2	1	0	NA	0	1	NA	NA	136	136
Tfap2b	3	1	0	0	0	1	0	1	252	252
Paqr8	5	1	0	NA	0	1	NA	NA	9740	9740
B3gat2	2	1	0	NA	0	1	NA	NA	675	675
Col9a1	2	1	0	NA	0	1	NA	NA	520	520
Lmbrd1	4	1	0	NA	0	1	NA	NA	15777	15777
Khdrbs2	3	1	0	NA	0	1	NA	NA	1547	1547
Rab23	2	1	0	NA	0	1	NA	NA	2766	2766
Dst	5	1	0	NA	0	1	NA	NA	7809	7809
Imp4	3	1	0	NA	0	1	NA	NA	2594	2594
Amer3	2	1	0	NA	0	1	NA	NA	1018	1018
Arid5a	2	1	0	NA	0	1	NA	NA	1216	1216
Cnnm3	2	1	0	NA	0	1	NA	NA	2601	2601
D430040D24Rik	2	1	NA	NA	NA	NA	NA	NA	117	117
Cox5b	2	1	NA	0	NA	NA	0	1	337511	337511
Lipt1	3	1	0	NA	0	1	NA	NA	309	309
Mrpl30	2	1	0	NA	0	1	NA	NA	56038	56038
Eif5b	7	1	0	0	0	1	0	1	4423	4423
Pdcl3	2	1	0	NA	0	1	NA	NA	9252	9252
Cnot11	3	1	0	NA	0	1	NA	NA	1975	1975
Map4k4	3	1	0	0	0	1	0	1	4902	4902
Slc9a4	2	1	0	NA	0	1	NA	NA	834	834
Slc9a2	2	1	0	NA	0	1	NA	NA	573	573
Gpr45	4	1	NA	0	NA	NA	0	1	1156	1156
AI597479	2	1	0	NA	0	1	NA	NA	2245	2245
Nck2	2	1	NA	0	NA	NA	0	1	2144	2144
Tpp2	3	1	0	0	0	1	0	1	3488	3488
Bivm	2	1	0	NA	0	1	NA	NA	2270	2270
Ercc5	2	1	NA	0	NA	NA	0	1	2866	2866
Gulp1	3	1	0	NA	0	1	NA	NA	738	738
Col3a1	2	1	0	NA	0	1	NA	NA	2311	2311
Dnah7b	2	1	NA	0	NA	NA	0	1	80	80
Tmeff2	3	1	0	NA	0	1	NA	NA	9818	9818
Cavin2	4	1	0	NA	0	1	NA	NA	889	889
Stat1	5	1	0	0	0	1	0	1	2156	2156
Nemp2	5	1	0	NA	0	1	NA	NA	687	687
Hibch	3	1	0	0	0	1	0	1	2764	2764
Osgepl1	3	1	NA	0	NA	NA	0	1	3528	3528
Coq10b	2	1	0	NA	0	1	NA	NA	2907	2907
Hspe1	2	1	NA	0	NA	NA	0	1	96906	96906
Mob4	5	1	0	NA	0	1	NA	NA	15500	15500
Mars2	3	1	NA	0	NA	NA	0	1	1355	1355
Plcl1	2	1	0	NA	0	1	NA	NA	2028	2028
1700066M21Rik	4	1	0	NA	0	1	NA	NA	1495	1495
Maip1	2	1	0	NA	0	1	NA	NA	7071	7071
Spats2l	3	1	0	0	0	1	0	1	1493	1493
Aox1	2	1	0	NA	0	1	NA	NA	409	409
Aox3	3	1	0	NA	0	1	NA	NA	488	488
Bzw1	5	1	0	0	0	1	0	1	15366	15366
Nif3l1	3	1	0	NA	0	1	NA	NA	3626	3626
Cflar	2	1	NA	0	NA	NA	0	1	3177	3177
Casp8	2	1	0	NA	0	1	NA	NA	383	383
Stradb	3	1	NA	0	NA	NA	0	1	3794	3794
Fzd7	3	1	0	NA	0	1	NA	NA	802	802
Gm973	3	1	0	0	0	1	0	1	359	359
Nop58	4	1	0	0	0	1	0	1	2443	2443
Bmpr2	2	1	0	NA	0	1	NA	NA	11814	11814
Fam117b	3	1	0	NA	0	1	NA	NA	4305	4305
Carf	2	1	NA	0	NA	NA	0	1	12316	12316
Nbeal1	6	1	0	0	0	1	0	1	985	985
Cyp20a1	2	1	0	NA	0	1	NA	NA	2283	2283
Abi2	3	1	0	NA	0	1	NA	NA	13299	13299
Nrp2	2	1	NA	0	NA	NA	0	1	674	674
Ino80dos	8	1	0	0	0	1	0	1	673	673
Adam23	5	1	0	NA	0	1	NA	NA	3211	3211
Fastkd2	4	1	0	0	0	1	0	1	1406	1406
Creb1	6	1	0	NA	0	1	NA	NA	2790	2790
Ccnyl1	4	1	0	0	0	1	0	1	625	625
Pikfyve	3	1	0	NA	0	1	NA	NA	3785	3785
Map2	2	1	0	NA	0	1	NA	NA	17835	17835
Unc80	2	1	0	NA	0	1	NA	NA	14066	14066
Rpe	5	1	0	0	0	1	0	1	5260	5260
Vwc2l	2	1	NA	0	NA	NA	0	1	231	231
Atic	2	1	0	NA	0	1	NA	NA	704	704
Apol7d	2	1	NA	0	NA	NA	0	1	162	162
Smarcal1	3	1	0	NA	0	1	NA	NA	3915	3915
Rpl37a	2	1	NA	0	NA	NA	0	1	178465	178465
Arpc2	2	1	0	NA	0	1	NA	NA	25635	25635
Pnkd	2	1	NA	0	NA	NA	0	1	8157	8157
Ctdsp1	2	1	0	NA	0	1	NA	NA	1989	1989
Vil1	2	1	0	NA	0	1	NA	NA	80	80
Cnot9	2	1	0	NA	0	1	NA	NA	1829	1829
Bcs1l	2	1	0	NA	0	1	NA	NA	2644	2644
Stk36	3	1	0	0	0	1	0	1	251	251
Ttll4	5	1	0	0	0	1	0	1	775	775
Wnt6	2	1	0	NA	0	1	NA	NA	3453	3453
Gm16582	4	1	NA	NA	NA	NA	NA	NA	1559	1559
Cdk5r2	3	1	0	NA	0	1	NA	NA	1503	1503
Ankzf1	2	1	NA	0	NA	NA	0	1	1913	1913
Stk16	2	1	NA	0	NA	NA	0	1	16295	16295
Des	2	1	NA	0	NA	NA	0	1	421	421
Gmppa	2	1	0	NA	0	1	NA	NA	2740	2740
Stk11ip	2	1	0	NA	0	1	NA	NA	1232	1232
Utp14b	2	1	0	NA	0	1	NA	NA	185	185
Acsl3	2	1	0	NA	0	1	NA	NA	15566	15566
Rhbdd1	2	1	NA	0	NA	NA	0	1	2076	2076
Agfg1	4	1	0	NA	0	1	NA	NA	4325	4325
Spata3	2	1	0	NA	0	1	NA	NA	89	89
2810459M11Rik	4	1	0	NA	0	1	NA	NA	2099	2099
Psmd1	2	1	NA	0	NA	NA	0	1	12038	12038
Armc9	5	1	0	0	0	1	0	1	1133	1133
Cops7b	2	1	0	NA	0	1	NA	NA	1792	1792
Dis3l2	2	1	0	NA	0	1	NA	NA	1652	1652
Eif4e2	5	1	0	0	0	1	0	1	7014	7014
Gigyf2	5	1	0	0	0	1	0	1	3453	3453
Inpp5d	2	1	NA	0	NA	NA	0	1	628	628
Ugt1a10	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a7c	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a9	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a8	3	1	0	0	0	1	0	1	210	210
Ugt1a6b	3	1	0	NA	0	1	NA	NA	210	210
Ugt1a6a	2	1	0	NA	0	1	NA	NA	209	209
Ugt1a5	3	1	0	NA	0	1	NA	NA	210	210
