Gene_Symbol	Ensemble_ID	UTR_ID	p-value	q-value	EPL_<pA>	GCL_RMS_<pA>	GL_<pA>	MCL_<pA>	ONL_<pA>	EPL_proximal_PUI
Narf	ENSMUSG00000000056.7	ENSMUSG00000000056.7_1	4.62711989527564e-06	0.000823627341359064	1.97321428571429	1.91324921135647	1.89763113367174	1.88976377952756	1.95530726256983	-2.51781195486536
Dlat	ENSMUSG00000000168.9	ENSMUSG00000000168.9_1	1.65615112221109e-21	1.52034673018978e-18	1.2685609532539	1.25685654008439	1.36160089560593	1.24408703878903	1.33569182389937	0.721189674045806
Gpr107	ENSMUSG00000000194.13	ENSMUSG00000000194.13_1	1.37927799784836e-12	6.95156110915575e-10	1.75471698113208	1.91015625	1.82954545454545	1.92424242424242	1.71212121212121	0.354885783104219
Drp2	ENSMUSG00000000223.13	ENSMUSG00000000223.13_1	1.34575369251947e-20	1.18830051049469e-17	1.62937062937063	1.87224669603524	1.55131964809384	1.72222222222222	1.44628099173554	-0.376453569017614
Arvcf	ENSMUSG00000000325.16	ENSMUSG00000000325.16_1	2.86501528504116e-104	5.16275754364418e-101	1.21262458471761	1.13351498637602	1.62048192771084	1.11359026369168	1.3806990881459	0.936224975139745
Dbt	ENSMUSG00000000340.10	ENSMUSG00000000340.10_1	1.91279677159422e-09	6.8860683777392e-07	1.64556962025316	1.88125	1.75862068965517	2	1.72636815920398	-0.4286978022786
Galnt1	ENSMUSG00000000420.15	ENSMUSG00000000420.15_1	9.10587664833365e-07	0.00019213399727984	1.60687960687961	1.60164835164835	1.65042630937881	1.44155844155844	1.58401305057096	-0.311639716136129
Mkrn2	ENSMUSG00000000439.9	ENSMUSG00000000439.9_1	3.1007667928762e-28	3.56278104501475e-25	1.57407407407407	1.37148217636022	1.44356435643564	1.47272727272727	1.81140350877193	-0.213312736777029
Gabra2	ENSMUSG00000000560.9	ENSMUSG00000000560.9_1	2.93412875230587e-16	2.03628535410027e-13	1.62080536912752	1.75609756097561	1.69911504424779	1.87845303867403	1.55128205128205	-0.353134398471645
Wdr77	ENSMUSG00000000561.14	ENSMUSG00000000561.14_1	1.94353894039083e-27	2.18453776899929e-24	1.60253164556962	1.55333333333333	1.31927710843373	1.44956772334294	1.32358003442341	0.862055043282945
Hnrnpd	ENSMUSG00000000568.15	ENSMUSG00000000568.15_2	2.45103647097773e-39	3.48047178878838e-36	1.16906474820144	1.28740490278952	1.14225941422594	1.26488095238095	1.0539629005059	1.14250638746464
Gm2a	ENSMUSG00000000594.7	ENSMUSG00000000594.7_1	5.98064323100877e-31	7.31432667152373e-28	1.95994993742178	1.9083820662768	1.96156802459646	1.872	1.83986655546289	-2.27028419068135
Dnajc5	ENSMUSG00000000826.16	ENSMUSG00000000826.16_1	5.06867971546746e-51	8.03385734901592e-48	1.90382902938557	2.00127877237852	1.91828978622328	1.98327759197324	1.97704667176741	-0.271213806902074
Tpd52l2	ENSMUSG00000000827.18	ENSMUSG00000000827.18_1	1.00571773049669e-115	1.81833765673801e-112	1.52974504249292	1.33495360141405	1.54379350348028	1.52025586353945	1.59604694255713	1.09872848577187
Fmr1	ENSMUSG00000000838.17	ENSMUSG00000000838.17_1	6.14314277816902e-33	7.82636389938733e-30	1.85131894484412	1.71262002743484	1.76169844020797	1.84596577017115	1.96194503171247	-1.24922675373324
Pxmp4	ENSMUSG00000000876.11	ENSMUSG00000000876.11_2	0.0107989511409871	0.637138117318238	1.46285714285714	1.37837837837838	1.36619718309859	1.29251700680272	1.32326283987915	0.106151801856432
Nsun5	ENSMUSG00000000916.15	ENSMUSG00000000916.15_1	7.04289631990443e-11	3.09887438075795e-08	1.10204081632653	1.53237410071942	1.23204419889503	1.33333333333333	1.45643153526971	1.45344529780426
Oxa1l	ENSMUSG00000000959.7	ENSMUSG00000000959.7_1	1.45867455366516e-13	8.02271004515839e-11	1.09050772626932	1.10724365004704	1.08952468850946	1.21119592875318	1.15301724137931	1.64884027432034
