Gene	Chr	Strand	MaxPosition	Fit.max.pos	Fit.start	Fit.end	mu	sigma	k	exon.intron	exon.pos	LogLik	polyA_ID
Gnai3	chr3	-1	108107467	108107370	108107280	108107595	203.590845397416	75.7159432726499	2179.09306979336	no-junctions	NA	-3009.35886671877	Gnai3:chr3:108107280-108107595:-1
Narf	chr11	1	121254348	121254361	121254166	121254556	313.569528293005	65.745922622822	1757.16196258395	no-junctions	NA	-2944.03543240612	Narf:chr11:121254166-121254556:1
Narf	chr11	1	121253592	121253585	121253399	121253771	293.246937149359	62.2725003692298	210.757143540861	no-junctions	NA	-2009.01341634716	Narf:chr11:121253399-121253771:1
Klf6	chr13	1	5870190	5870200	5869981	5870394	310.525789679163	73.9957844076099	466.495170750676	no-junctions	NA	-1884.91041134174	Klf6:chr13:5869981-5870394:1
Scmh1	chr4	1	120530012	120530001	120529782	120530186	289.28918585708	73.5155693560616	1628.18642722655	no-junctions	NA	-2646.8572881916	Scmh1:chr4:120529782-120530186:1
Xpo6	chr7	-1	126101916	126101816	126101715	126102032	200.29847980329	72.6606335126066	2160.40862697118	no-junctions	NA	-2458.09489584939	Xpo6:chr7:126101715-126102032:-1
Brat1	chr5	1	140719175	140719185	140718972	140719379	310.790893595904	71.0682479261118	264.705280965182	no-junctions	NA	-1879.67291139142	Brat1:chr5:140718972-140719379:1
Pih1d2	chr9	1	50621831	50621828	50621630	50625000	297.641828606816	66.5094324459518	376.405470351396	across-junctions	(50621630,50621885)(50624860,50625000)	-1848.92594794275	Pih1d2:chr9:50621630-50625000:1
Sdhd	chr9	-1	50596522	50596400	50596357	50596598	178.166765942893	66.1982794082321	10730.812884872	no-junctions	NA	-3484.27008432273	Sdhd:chr9:50596357-50596598:-1
Th	chr7	-1	142892966	142892888	142892752	142893089	222.857966520258	67.2209013595676	25792.0937619975	no-junctions	NA	-3936.13896347836	Th:chr7:142892752-142893089:-1
Fer	chr17	1	64139023	64139006	64137747	64139222	283.840170197072	72.0531348709017	298.124893147825	across-junctions	(64137747,64137831)(64138875,64139222)	-2560.1805152305	Fer:chr17:64137747-64139222:1
Nalcn	chr14	-1	123276827	123276723	123276634	123276927	196.161743435981	68.5502904886117	3693.83268970081	no-junctions	NA	-2799.53573159981	Nalcn:chr14:123276634-123276927:-1
Mnt	chr11	1	74845511	74845519	74845312	74845725	308.716794559304	69.7356555414954	898.113348962605	no-junctions	NA	-2423.8659159538	Mnt:chr11:74845312-74845725:1
Axin2	chr11	1	108950581	108950589	108950367	108950783	30241.7226917452	74.9854018171823	451.100462666179	no-junctions	NA	-80041.6371287497	Axin2:chr11:108950367-108950783:1
Dgke	chr11	-1	89038168	89038196	89037917	89038475	328.621402025242	93.039340587882	1019.05416016746	no-junctions	NA	-3593.96612988692	Dgke:chr11:89037917-89038475:-1
Dgke	chr11	-1	89035373	89035268	89035179	89035472	195.99039585558	68.1004467659423	950.509666030181	no-junctions	NA	-2253.8200665221	Dgke:chr11:89035179-89035472:-1
Scpep1	chr11	-1	88924186	88924043	88924020	88924193	157.88918194885	50.748350751359	790.950775641808	no-junctions	NA	-2611.43485882553	Scpep1:chr11:88924020-88924193:-1
Itgb2	chr10	1	77565434	77565457	77565217	77565697	323.622831582175	80.8456798197958	332.686828616923	no-junctions	NA	-2342.89757313245	Itgb2:chr10:77565217-77565697:1
Mid2	chrX	1	140767519	140767525	140767318	140767715	306.673333554448	69.1811725255392	887.385000319877	no-junctions	NA	-2167.95932220866	Mid2:chrX:140767318-140767715:1
Cox5a	chr9	1	57531748	57531742	57530240	57532426	294.487148170938	65.21319457417	178423.61678539	across-junctions	(57530240,57530361)(57531669,57531791)(57532282,57532426)	-4729.54876778906	Cox5a:chr9:57530240-57532426:1
Gpr107	chr2	1	31216351	31216350	31216137	31216563	299.29687037717	71.5136094955723	565.713895394843	no-junctions	NA	-2278.86335004894	Gpr107:chr2:31216137-31216563:1
Gpr107	chr2	1	31214419	31214405	31210500	31214636	286.230837962047	77.0035438780064	378.373344883899	across-junctions	(31210500,31210569)(31214244,31214636)	-2853.58849455935	Gpr107:chr2:31210500-31214636:1
Alox12	chr11	-1	70242266	70242267	70242006	70242528	301.164531323635	87.6683494168651	223.17338313206	no-junctions	NA	-2317.29802717713	Alox12:chr11:70242006-70242528:-1
Rtca	chr3	-1	116489140	116489032	116488963	116489248	192.1867386991	72.205620468126	6309.09150591242	no-junctions	NA	-3218.73010234039	Rtca:chr3:116488963-116489248:-1
Gna12	chr5	-1	140758600	140758491	140758408	140758686	191.950874560272	65.853313743415	3418.51137638015	no-junctions	NA	-3213.82063486313	Gna12:chr5:140758408-140758686:-1
Lhx2	chr2	1	38369562	38369499	38369160	38369733	237.027074462835	113.521894082936	1596.68930967523	no-junctions	NA	-3151.04251809479	Lhx2:chr2:38369160-38369733:1
Tbrg4	chr11	-1	6616600	6615709	6615598	6617335	201.524589129698	80.1156546381857	712.242159978981	across-junctions	(6615598,6615765)(6616558,6616713)(6617308,6617335)	-2380.15306627862	Tbrg4:chr11:6615598-6617335:-1
Ccm2	chr11	1	6596552	6596550	6596349	6596744	298.266573008015	67.7134734317414	4022.72397468523	no-junctions	NA	-3085.6791928213	Ccm2:chr11:6596349-6596744:1
Tbrg4	chr11	-1	6615797	6615794	6615767	6616019	28.1191640011965	75.5900585117842	399.396676501381	no-junctions	NA	-4095.7585753584	Tbrg4:chr11:6615767-6616019:-1
Btbd17	chr11	-1	114791418	114791320	114791217	114791527	202.556180668106	69.5131042533663	3313.27980437437	no-junctions	NA	-2801.18754667622	Btbd17:chr11:114791217-114791527:-1
Ckmt1	chr2	1	121363556	121363544	121362770	121363737	288.185006037236	70.8205788239596	6605.13486840824	across-junctions	(121362770,121362808)(121362975,121363099)(121363498,121363737)	-3189.30718198891	Ckmt1:chr2:121362770-121363737:1
Pemt	chr11	-1	59970827	59970720	59970614	59971227	193.072340171117	66.2178350640666	431.129459780797	across-junctions	(59970614,59970874)(59971184,59971227)	-1911.10966546861	Pemt:chr11:59970614-59971227:-1
Pemt	chr11	-1	59992394	59992423	59992357	59992489	329.261455445942	22.383218792857	290.935839976302	no-junctions	NA	-2772.56046847256	Pemt:chr11:59992357-59992489:-1
Pparg	chr6	1	115490186	115490202	115489998	115490399	316.42718489074	68.2022503876698	236.687209393669	no-junctions	NA	-1765.65430457312	Pparg:chr6:115489998-115490399:1
Trim25	chr11	1	89020104	89020099	89019898	89020293	295.271370417169	67.0229491484191	787.316478876278	no-junctions	NA	-2237.25658310702	Trim25:chr11:89019898-89020293:1
Trappc10	chr10	-1	78186944	78186873	78186725	78187101	229.112222283311	76.9116140156787	1716.83326539137	no-junctions	NA	-2512.91451654026	Trappc10:chr10:78186725-78187101:-1
Trappc10	chr10	-1	78228833	78228852	78222723	78231602	319.111747033406	70.5814342555727	440.60815760373	across-junctions	(78222723,78222859)(78228779,78228913)(78231454,78231602)	-2826.3587696607	Trappc10:chr10:78222723-78231602:-1
Pdgfb	chr15	-1	79996068	79995966	79995874	79996176	198.374599714555	70.035286369064	1882.03386616055	no-junctions	NA	-2739.22920414912	Pdgfb:chr15:79995874-79996176:-1
Mcts1	chrX	1	38613285	38613282	38605936	38613426	297.480841179454	88.3032175718294	8524.19001972057	across-junctions	(38605936,38606071)(38611766,38611832)(38613221,38613426)	-2960.30439741713	Mcts1:chrX:38605936-38613426:1
Tom1l2	chr11	-1	60226902	60226794	60226714	60226998	192.993426425979	68.9038674327391	6174.41622032098	no-junctions	NA	-3072.98559669573	Tom1l2:chr11:60226714-60226998:-1
Tom1l2	chr11	-1	60293704	60293732	60293660	60293804	328.299969526239	24.6872185875193	678.048775423897	no-junctions	NA	-3245.96345461306	Tom1l2:chr11:60293660-60293804:-1
Sox9	chr11	1	112787555	112787569	112787374	112787760	314.059723815661	65.5861478926789	498.067208278292	no-junctions	NA	-2647.27182340132	Sox9:chr11:112787374-112787760:1
Sox9	chr11	1	112785929	112785955	112785673	112786237	326.91584230745	94.9194999102957	191.838602130167	no-junctions	NA	-2516.09292436638	Sox9:chr11:112785673-112786237:1
Gm2a	chr11	1	55110704	55110708	55110504	55110912	304.005165176079	68.2002667638224	3085.37692455488	no-junctions	NA	-3283.59469530165	Gm2a:chr11:55110504-55110912:1
Gm2a	chr11	1	55109578	55109567	55109366	55109768	289.531872004761	67.936632495424	329.679352061901	no-junctions	NA	-2866.25233211078	Gm2a:chr11:55109366-55109768:1
Gm2a	chr11	1	55110091	55110061	55109824	55110298	270.953651955132	79.1308478924037	299.240667143409	no-junctions	NA	-2902.60921702576	Gm2a:chr11:55109824-55110298:1
Sez6	chr11	1	77978846	77978852	77978639	77979048	306.68272898802	71.0615989795701	11404.9549792064	no-junctions	NA	-3461.45781289182	Sez6:chr11:77978639-77979048:1
Wdr77	chr3	1	105968010	105968001	105967800	105968202	291.527876989195	67.3893914672153	1424.12296428589	no-junctions	NA	-3417.23235131761	Wdr77:chr3:105967800-105968202:1
Wdr77	chr3	1	105969191	105969186	105968991	105969381	295.163094685314	65.9121911139483	884.689802151442	no-junctions	NA	-2912.69163883905	Wdr77:chr3:105968991-105969381:1
Wdr77	chr3	1	105967672	105967638	105967461	105967815	266.449217354475	59.362358862003	227.243545201734	no-junctions	NA	-2904.5638021964	Wdr77:chr3:105967461-105967815:1
Mkrn2	chr6	1	115618502	115618494	115618290	115618698	292.912473388395	68.1012609360848	736.585786427941	no-junctions	NA	-2532.3224060016	Mkrn2:chr6:115618290-115618698:1
Mkrn2	chr6	1	115617833	115617821	115617587	115618055	288.687513421644	78.8538803254379	573.515139799765	no-junctions	NA	-2212.1394319174	Mkrn2:chr6:115617587-115618055:1
Sema4f	chr6	-1	82912079	82911969	82911885	82912170	190.886827256082	67.1932506839813	607.012873000349	no-junctions	NA	-1969.97477899007	Sema4f:chr6:82911885-82912170:-1
Galnt1	chr18	1	24285855	24285874	24285634	24286114	319.532750617352	80.328041421934	596.39507798866	no-junctions	NA	-3231.90862151479	Galnt1:chr18:24285634-24286114:1
Galnt1	chr18	1	24286418	24286514	24286040	24286818	396.887344260546	158.300138641583	530.679658223653	no-junctions	NA	-3567.97295618969	Galnt1:chr18:24286040-24286818:1
Galnt1	chr18	1	24238375	24238403	24232445	24254631	328.670356801343	123.245303395038	272.202081183918	across-junctions	(24232445,24232652)(24238242,24238484)(24246050,24246223)(24254518,24254631)	-3256.99209859212	Galnt1:chr18:24232445-24254631:1
Galnt1	chr18	1	24285445	24285439	24285199	24285679	294.694981453984	80.9857545251698	221.885879649908	no-junctions	NA	-2889.74426920696	Galnt1:chr18:24285199-24285679:1
Galnt1	chr18	1	24286718	24286740	24286680	24286800	322.917171684688	20.8004171237977	169.285575472593	no-junctions	NA	-1822.76174797102	Galnt1:chr18:24286680-24286800:1
Acvr1b	chr15	1	101213489	101213494	101213299	101213684	305.772207233311	65.174795670773	2334.55328303561	no-junctions	NA	-2538.59594722266	Acvr1b:chr15:101213299-101213684:1
Zfp385a	chr15	-1	103314084	103313967	103313895	103314129	183.645501660302	54.349060354876	3529.370707094	no-junctions	NA	-2897.87862017742	Zfp385a:chr15:103313895-103314129:-1
Gabra2	chr5	-1	70958561	70958577	70958367	70958787	316.891444520982	70.3871671820832	1116.88765484344	no-junctions	NA	-3179.17501739605	Gabra2:chr5:70958367-70958787:-1
Gabra2	chr5	-1	70960014	70959979	70959532	70960426	265.832077201568	149.539692493972	238.280827632008	no-junctions	NA	-3253.79833698087	Gabra2:chr5:70959532-70960426:-1
C1d	chr11	1	17267048	17267032	17266831	17267233	284.180111778442	67.660526730652	17494.3356677123	no-junctions	NA	-4687.85568636719	C1d:chr11:17266831-17267233:1
