Gene_Symbol	Ensemble_ID	Peak_ID	Chromosome	Peak_Start	Peak_End	Strand
Gnai3	ENSMUSG00000000001.4	ENSMUSG00000000001.4_1_1	3	108107307	108107721	-
Narf	ENSMUSG00000000056.7	ENSMUSG00000000056.7_1_1	11	121253521	121253671	+
Narf	ENSMUSG00000000056.7	ENSMUSG00000000056.7_1_2	11	121254184	121254523	+
Cav2	ENSMUSG00000000058.6	ENSMUSG00000000058.6_2_2	6;6	17288494;17288683	17288682;17289015	+;+
Klf6	ENSMUSG00000000078.7	ENSMUSG00000000078.7_1_2	13	5870017	5870384	+
Scmh1	ENSMUSG00000000085.16	ENSMUSG00000000085.16_1_1	4	120529784	120530178	+
Cox5a	ENSMUSG00000000088.7	ENSMUSG00000000088.7_1_1	9	57532295	57532413	+
Fer	ENSMUSG00000000127.14	ENSMUSG00000000127.14_1_1	17;17	64138906;64139185	64139184;64139424	+;+
Xpo6	ENSMUSG00000000131.15	ENSMUSG00000000131.15_1_1	7	126101726	126102113	-
Tfe3	ENSMUSG00000000134.17	ENSMUSG00000000134.17_1_1	X	7774802	7775200	+
Axin2	ENSMUSG00000000142.15	ENSMUSG00000000142.15_1_1	11	108950384	108950782	+
Brat1	ENSMUSG00000000148.17	ENSMUSG00000000148.17_1_2	5	140718972	140719368	+
Gna12	ENSMUSG00000000149.10	ENSMUSG00000000149.10_1_1	5	140758430	140758807	-
Dlat	ENSMUSG00000000168.9	ENSMUSG00000000168.9_1_1	9	50635818	50636188	-
Dlat	ENSMUSG00000000168.9	ENSMUSG00000000168.9_1_2	9	50634698	50635035	-
Sdhd	ENSMUSG00000000171.5	ENSMUSG00000000171.5_1_1	9	50596360	50596746	-
Ccnd2	ENSMUSG00000000184.12	ENSMUSG00000000184.12_1_1	6;6	127148320;127148633	127148632;127148840	-;-
Ccnd2	ENSMUSG00000000184.12	ENSMUSG00000000184.12_2_4	6	127125171	127125509	-
Gpr107	ENSMUSG00000000194.13	ENSMUSG00000000194.13_1_1	2	31214291	31214549	+
Gpr107	ENSMUSG00000000194.13	ENSMUSG00000000194.13_1_2	2	31216196	31216503	+
Gpr107	ENSMUSG00000000194.13	ENSMUSG00000000194.13_1_3	2	31218186	31218382	+
Nalcn	ENSMUSG00000000197.8	ENSMUSG00000000197.8_1_1	14	123276653	123277010	-
Btbd17	ENSMUSG00000000202.9	ENSMUSG00000000202.9_1_1	11	114791238	114791622	-
Th	ENSMUSG00000000214.11	ENSMUSG00000000214.11_1_1	7	142892795	142893155	-
Drp2	ENSMUSG00000000223.13	ENSMUSG00000000223.13_1_1	X	134453081	134453360	+
Drp2	ENSMUSG00000000223.13	ENSMUSG00000000223.13_1_3	X	134456220	134456554	+
Lhx2	ENSMUSG00000000247.11	ENSMUSG00000000247.11_1_1	2	38369235	38369701	+
Mid2	ENSMUSG00000000266.11	ENSMUSG00000000266.11_1_1	X	140767311	140767699	+
Trim25	ENSMUSG00000000275.16	ENSMUSG00000000275.16_2_1	11	89019927	89020276	+
Dgke	ENSMUSG00000000276.11	ENSMUSG00000000276.11_1_3	11	89035228	89035523	-
Scpep1	ENSMUSG00000000278.10	ENSMUSG00000000278.10_1_1	11;11	88924017;88924280	88924279;88924437	-;-
Mnt	ENSMUSG00000000282.12	ENSMUSG00000000282.12_1_1	11	74845298	74845684	+
Itgb2	ENSMUSG00000000290.13	ENSMUSG00000000290.13_1_1	10	77565240	77565648	+
Hddc2	ENSMUSG00000000295.13	ENSMUSG00000000295.13_1_1	10	31327911	31328181	+
Tpd52l1	ENSMUSG00000000296.8	ENSMUSG00000000296.8_1_1	10;10	31332388;31332737	31332736;31332945	-;-
Pemt	ENSMUSG00000000301.16	ENSMUSG00000000301.16_1_1	11	59970664	59970850	-
Cdh4	ENSMUSG00000000305.12	ENSMUSG00000000305.12_2_1	2	179898854	179899346	+
Ckmt1	ENSMUSG00000000308.14	ENSMUSG00000000308.14_1_1	2	121363494	121363726	+
Arvcf	ENSMUSG00000000325.16	ENSMUSG00000000325.16_1_1	16	18405944	18406320	+
Arvcf	ENSMUSG00000000325.16	ENSMUSG00000000325.16_1_2	16	18406710	18407030	+
