gene	pas	type	frac.c1	frac.c2
Tcea1	chr1:4897816:+	3' most exon	0.437	0.437
Tcea1	chr1:4896761:+	3' most exon	0.178	0.178
Tcea1	chr1:4896575:+	3' most exon	0.164	0.164
Tcea1	chr1:4897997:+	3' most exon	0.222	0.222
Atp6v1h	chr1:5162475:+	3' most exon	0.899	0.899
Atp6v1h	chr1:5143849:+	Internal exon	0.101	0.101
Rb1cc1	chr1:6276364:+	3' most exon	0.158	0.158
Rb1cc1	chr1:6275168:+	3' most exon	0.295	0.295
Rb1cc1	chr1:6275578:+	3' most exon	0.415	0.415
Rb1cc1	chr1:6274498:+	3' most exon	0.132	0.132
St18	chr1:6860936:+	3' most exon	0.757	0.757
St18	chr1:6865669:+	3' most exon	0.135	0.135
St18	chr1:6858894:+	3' most exon	0.108	0.108
Pcmtd1	chr1:7173542:+	3' most exon	0.127	0.127
Pcmtd1	chr1:7172745:+	3' most exon	0.8	0.8
Pcmtd1	chr1:7169989:+	3' most exon	0.0732	0.0732
Adhfe1	chr1:9576887:+	3' most exon	0.268	0.268
Adhfe1	chr1:9576738:+	3' most exon	0.732	0.732
Sgk3	chr1:9900778:+	3' most exon	0.398	0.398
Sgk3	chr1:9899867:+	3' most exon	0.286	0.286
Sgk3	chr1:9900553:+	3' most exon	0.198	0.198
Sgk3	chr1:9899628:+	3' most exon	0.118	0.118
Cspp1	chr1:10136768:+	3' most exon	0.598	0.598
Cspp1	chr1:10038373:+	Intron	0.317	0.317
Cspp1	chr1:10067977:+	Intron	0.0855	0.0855
Prex2	chr1:11303682:+	3' most exon	0.475	0.475
Prex2	chr1:11298014:+	3' most exon	0.0901	0.0901
Prex2	chr1:11303501:+	3' most exon	0.435	0.435
A830018L16Rik	chr1:11975765:+	3' most exon	0.241	0.241
A830018L16Rik	chr1:11598760:+	Intron	0.201	0.201
A830018L16Rik	chr1:11601626:+	Intron	0.263	0.263
A830018L16Rik	chr1:11600053:+	Intron	0.0808	0.0808
A830018L16Rik	chr1:11975899:+	3' most exon	0.0576	0.0576
A830018L16Rik	chr1:11598586:+	Intron	0.157	0.157
Sulf1	chr1:12861148:+	3' most exon	0.258	0.258
Sulf1	chr1:12860362:+	3' most exon	0.688	0.688
Sulf1	chr1:12860902:+	3' most exon	0.0542	0.0542
Terf1	chr1:15843355:+	3' most exon	0.304	0.304
Terf1	chr1:15813161:+	Internal exon	0.294	0.294
Terf1	chr1:15843479:+	3' most exon	0.402	0.402
Rdh10	chr1:16132512:+	3' most exon	0.651	0.651
Rdh10	chr1:16133734:+	3' most exon	0.146	0.146
Rdh10	chr1:16131564:+	3' most exon	0.152	0.152
Rdh10	chr1:16131417:+	3' most exon	0.0501	0.0501
Tmem70	chr1:16678166:+	3' most exon	0.404	0.404
Tmem70	chr1:16677770:+	3' most exon	0.429	0.429
Tmem70	chr1:16677426:+	3' most exon	0.0758	0.0758
Tmem70	chr1:16678277:+	3' most exon	0.0916	0.0916
Pi15	chr1:17627915:+	3' most exon	0.557	0.557
Pi15	chr1:17625720:+	3' most exon	0.443	0.443
Crispld1	chr1:17764698:+	3' most exon	0.538	0.538
Crispld1	chr1:17766348:+	3' most exon	0.462	0.462
Tfap2b	chr1:19238741:+	3' most exon	0.102	0.102
Tfap2b	chr1:19234533:+	Intron	0.139	0.139
Tfap2b	chr1:19238573:+	3' most exon	0.759	0.759
Paqr8	chr1:20939557:+	3' most exon	0.138	0.138
Paqr8	chr1:20939062:+	3' most exon	0.192	0.192
Paqr8	chr1:20937419:+	3' most exon	0.23	0.23
Paqr8	chr1:20939693:+	3' most exon	0.289	0.289
Paqr8	chr1:20938756:+	3' most exon	0.151	0.151
B3gat2	chr1:23849148:+	3' most exon	0.591	0.591
B3gat2	chr1:23845622:+	3' most exon	0.409	0.409
Col9a1	chr1:24252674:+	3' most exon	0.904	0.904
Col9a1	chr1:24252348:+	3' most exon	0.0958	0.0958
